ticket_id,text,category,priority
1030,Just wondering if you plan to support dark mode soon.,Technical Issue,low
1067,Minor bug: the tooltip text is slightly cut off on smaller screens.,Bug Report,low
1062,The export button produces a corrupted file sometimes.,Bug Report,medium
1047,Can you help me merge two accounts under one login?,Account Access,medium
1042,"My account shows the wrong subscription plan, can someone check?",Account Access,medium
1040,"I've been locked out of my account and need access restored immediately, it's urgent.",Account Access,high
1090,Can you explain the difference between the Pro and Enterprise plans?,General Inquiry,medium
1045,"My account shows the wrong subscription plan, can someone check?",Account Access,medium
1010,"My invoice total looks wrong this month, can you review my billing history?",Billing,medium
1000,"I was charged twice for my subscription and need this fixed immediately, this is unacceptable.",Billing,high
1018,"Our production server is down and customers can't access the site, need help now.",Technical Issue,high
1031,Just wondering if you plan to support dark mode soon.,Technical Issue,low
1097,Do you have a mobile app available?,General Inquiry,low
1085,Any plans to add emoji support in comments?,Feature Request,low
1076,"Please prioritize adding SSO support, it's blocking our enterprise rollout.",Feature Request,high
1004,URGENT: my card was charged $250.00 in error and I need a refund right now.,Billing,high
1079,We'd love an API endpoint for retrieving usage analytics.,Feature Request,medium
1033,How do I enable keyboard shortcuts in the app?,Technical Issue,low
1012,Is it possible to switch from monthly to annual billing?,Billing,low
1026,"The dashboard is loading very slowly today, is there a known issue?",Technical Issue,medium
1100,How do I contact sales for a custom quote?,General Inquiry,low
1053,Just want to confirm my account is on the correct plan.,Account Access,low
1022,"Our production server is down and customers can't access the site, need help now.",Technical Issue,high
1068,Noticed a typo in the error message on the login form.,Bug Report,low
1044,"I forgot my password and the reset email isn't arriving, can you assist?",Account Access,medium
1098,"Just wanted to say the new update looks great, thanks!",General Inquiry,low
1015,Just curious what payment methods you accept for subscriptions.,Billing,low
1073,"Please prioritize adding SSO support, it's blocking our enterprise rollout.",Feature Request,high
1039,"Someone else may have accessed my account, please secure it right now.",Account Access,high
1009,"My invoice total looks wrong this month, can you review my billing history?",Billing,medium
1084,Would be a nice-to-have to reorder items via drag and drop.,Feature Request,low
